index,href,id,contents,key,date,contents_order,hate,categories,degree,keyword
6138,/bbs/Gossiping/M.1622630678.A.529.html,ewqewq123123,花哈哈哈這個猛讚覺青打科興,bnt, 220.135.14.242 06/02 19:24 ,272,1,3,3,覺青打科興
6139,/bbs/Gossiping/M.1622630678.A.529.html,potatobb,覺青怎麼可能崩潰喜迎高端幹你娘,bnt, 114.32.221.110 06/02 19:26 ,278,1,3,1,"覺青,幹你娘"
6140,/bbs/Gossiping/M.1622630678.A.529.html,menshuei,打國藥不就身體被中國俘虜？,bnt,  1.161.100.140 06/02 19:30 ,321,1,3,1,"打國藥,身體被中國俘虜"
6141,/bbs/Gossiping/M.1622630678.A.529.html,marginal5566,覺青幹嘛崩壞高端一打他們就射了,bnt,   101.10.22.73 06/02 19:33 ,337,1,3,3,"覺青,高端一打他們就射了"
6142,/bbs/Gossiping/M.1622630678.A.529.html,Townshend,覺青會洗科興也不錯吧,bnt, 110.26.163.246 06/02 19:35 ,343,1,0,0,
6143,/bbs/Gossiping/M.1622630678.A.529.html,newlances,覺青那會崩潰打高端是覺青的夢想吧,bnt,   27.247.193.9 06/02 19:42 ,366,1,0,0,
6144,/bbs/Gossiping/M.1622630678.A.529.html,IloveIlhan,要出國的覺青只能含淚打國藥了，可憐（因為高端沒有國際認證QQ),bnt, 217.138.212.10 06/02 19:42 ,367,1,0,0,
6145,/bbs/Gossiping/M.1622630678.A.529.html,headcase,覺青怎麼會崩潰就算是高端只有瓶子他們也能拿來放在公嬤廳裡拜好嗎,bnt,    110.26.4.86 06/02 20:07 ,429,1,0,0,
6146,/bbs/Gossiping/M.1622630678.A.529.html,lovecoco,覺青有高端打超開心的，崩潰的是4％仔，柯韓昌粉，覺青還會說，你看到，還敢唱衰國產疫苗，現在還不是靠它，洗臉你們,bnt,   101.10.59.97 06/02 20:17 ,443,1,3,3,4％仔
6147,/bbs/Gossiping/M.1622630678.A.529.html,sunhear,你放心，覺青賤畜會偷打國藥說自己打高,bnt,   39.12.66.232 06/02 20:19 ,447,1,3,1,覺青賤畜
6148,/bbs/Gossiping/M.1622630678.A.529.html,brianoj,覺青就算家人染疫死去大概都沒差真的要打國藥哪有差,bnt, 36.229.234.134 06/02 20:24 ,450,1,3,3,"覺青,家人,死去"
6149,/bbs/Gossiping/M.1622630678.A.529.html,peterli,覺青只打高端好嗎，越少人打我可以多打幾隻，爽的,bnt,114.136.215.182 06/02 20:27 ,458,1,0,0,
6150,/bbs/Gossiping/M.1622630678.A.529.html,sjqs,全世界疫苗缺貨台灣除了有BNT掮客還有中國疫苗蟑螂,bnt,   27.53.122.81 06/02 20:28 ,459,1,3,2,中國疫苗蟑螂
6151,/bbs/Gossiping/M.1622630678.A.529.html,niko0202,到時蟑螂就洗國藥是國產疫苗啦ccc,bnt,   114.37.12.42 06/02 20:33 ,462,1,3,2,蟑螂
6152,/bbs/Gossiping/M.1622630678.A.529.html,chronoinn,覺青會打高端啊，八卦版應該會全部崩潰吧,bnt,223.141.200.109 06/02 20:34 ,463,1,0,0,
6153,/bbs/Gossiping/M.1622630678.A.529.html,tbere2002,覺青含淚打國藥,bnt,   101.12.46.47 06/02 20:40 ,472,1,0,0,
6154,/bbs/Gossiping/M.1622630678.A.529.html,aiam,不會啊覺青超愛高端,bnt, 111.242.56.230 06/02 20:51 ,489,1,0,0,
6155,/bbs/Gossiping/M.1622630678.A.529.html,hahaha42,覺青恨不得趕快打高端好嗎你太小看他們,bnt,    1.169.73.80 06/02 20:59 ,495,1,0,0,
6156,/bbs/Gossiping/M.1622630678.A.529.html,ringil,覺青會不會偷偷去打國藥啊顆顆,bnt,  61.230.207.16 06/02 21:24 ,508,1,0,0,
6157,/bbs/Gossiping/M.1622630678.A.529.html,Workshy,覺青很愛高端欸,bnt, 220.136.67.178 06/02 22:14 ,534,1,0,0,
6158,/bbs/Gossiping/M.1622630678.A.529.html,abc1232579,覺青打高端4趴打國藥不4剛剛好？,bnt,   1.165.214.26 06/02 23:12 ,552,1,3,3,"覺青打高端,4趴打國藥"
6159,/bbs/Gossiping/M.1622630678.A.529.html,shi21,不會啦覺青會願意打高端的,bnt, 118.167.152.55 06/03 00:07 ,567,1,0,0,
